Specie	TAB007	TAB008	TAB009	TAB010	APW023	APO164	APO165	APO166	APO167	APP365	APP366	APP373	APP374	APP375	APP376	APP377	APP378	APP1211	APP1212	APP1223	APP1224	APP1235	APP1236	APP1307	APP1308	APP1319	APP1320	APP1331	APP1332	APP1355	APP1356	APP1367	APP1368	APP1379	APP1380	APP1391	APP1392	APP1417	APP1418	APP1419	APP1420	APP1421	APP1422	APP1423	APP1424	APP1425	APP1426	APP1439	APP1440	APP1499	APP1500	APP1511	APP1512	APP1522	APP1523	APP1524	APP1534
d__Viruses;-__Retro_transcribing_viruses;f__Hepadnaviridae;g__Orthohepadnavirus;s__Hepatitis_B_virus	6.0	5.0	8.0	7.0	0.0	42.0	8.004	1.0	8.0	0.0	98.0	4.0	0.0	29.0	13.0	15.0	8.0	98.0	4.0	4.0	6.0	21.0	1.0	12.0	5.0	6.0	5.0	3.0	2.0	1.0	2.0	11.007	13.0	15.0	23.0	3.0	19.0	32.003	1.0	110.0	17.0	55.0	6.0	24.0	59.0	12.01	4.0	35.0	1.0	9.0	7.0	71.0	1.0	4.0	14.004	6.0	2.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;-__unclassified_Deltaretrovirus;s__Human_T_lymphotropic_virus_4	2.0	1.0	2.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	10.0	0.0	3.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	7.0	1.0	1.0	3.0	5.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_1	3.0	1.0	2.0	2.0	0.0	3.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	12.0	1.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	4.0	9.0	1.0	1.0	4.0	5.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_2	2.0	2.0	2.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	10.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	8.0	1.0	1.0	3.0	6.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Deltaretrovirus;s__Primate_T_lymphotropic_virus_3	2.0	1.0	2.0	2.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	10.0	0.0	3.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	8.0	1.0	1.0	3.0	3.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__Mammalian_gammaretrovirus_group;-__Replication_competent_viruses;s__Murine_leukemia_virus	1.0	3.0	2.0	2.0	1.0	3.0	3.0	3.0	1.0	0.0	1.0	1.0	0.0	8.0	7.0	0.0	5.004	4.0	1.0	0.0	1.0	4.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	7.007	2.0	1.0	1.0	1.0	5.0	2.0	1.0	12.002	16.004	0.0	1.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	18.002	1.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__Mammalian_gammaretrovirus_group;-__Replication_competent_viruses;s__Porcine_type_C_oncovirus	1.0	3.0	3.0	3.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0	5.0	1.0	5.004	4.0	1.0	0.0	1.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	5.007	2.0	1.0	0.0	1.0	5.0	2.0	0.0	11.002	13.004	0.0	0.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	2.0	18.002	1.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__unclassified_Gammaretrovirus;s__Murine_leukemia_related_retroviruses	1.0	3.0	2.0	2.0	1.0	3.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	7.0	4.0	0.0	5.004	5.0	1.0	0.0	1.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	4.0	3.0	0.0	11.002	15.004	0.0	0.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	16.002	1.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Lentivirus;-__Primate_lentivirus_group;s__Human_immunodeficiency_virus_1	14.0	10.0	23.0	21.0	4.0	22.0	10.0	8.0	12.002	0.0	6.006	18.002	10.002	27.0	34.007	34.006	11.0	39.0	14.0	4.0	12.004	29.004	0.0	38.005	5.0	35.0	3.0	10.0	3.0	1.0	17.0	64.004	44.007	45.009	17.0	16.005	33.004	16.0	27.002	23.0	45.004	12.0	9.0	26.0	11.0	14.008	4.0	2.0	37.003	8.0	15.007	26.0	11.001	0.0	13.0	35.002	12.0
d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Lentivirus;-__Primate_lentivirus_group;s__Human_immunodeficiency_virus_2	7.0	7.0	19.003	18.003	6.0	9.0	3.0	3.0	6.0	0.0	3.0	14.002	7.002	39.0	23.0	20.0	7.0	27.0	10.0	1.0	5.0	22.004	0.0	23.0	4.0	0.0	1.0	6.0	2.0	3.0	14.0	41.004	21.006	15.0	10.0	8.0	19.0	74.0	28.002	9.0	41.004	2.0	5.0	96.0	7.0	8.009	2.0	1.0	34.003	3.0	11.006	11.0	10.001	0.0	8.0	25.002	10.0
