Run_ID,ID,Species,Sex,Age_cat,Age_tooth,Mass,Forearm,MF_resid,Zoonotic,Virus,virus_family,virus_genus,virus_species,Raw p-value,Orig p-value,Assigned counts,Assigned peptides,Total sample hits,Total filtered sample hits,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__Retro_transcribing_viruses;f__Hepadnaviridae;g__Orthohepadnavirus;s__Hepatitis_B_virus,Hepadnaviridae,Orthohepadnavirus,Hepatitis_B_virus,0.000570557,0.00624005,58.003,3001;487;5905;77909;79814;17033;79712;60768;69963;71809;78094;78095;35280;79900;67615;94247;38174;64453;80079;79326;16087;78770;79777;67554;60830;60831;70039;70004;71134;71175;59554;59553;79921;70640;70032;79796;14740;20665;78833;60800;80800;15346;15347;30127;40891;52596;52597;55470;60829;60852;60853;64452;71817;79718;79801;80055;80663;86569,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Lentivirus;-__Primate_lentivirus_group;s__Human_immunodeficiency_virus_1,Retroviridae,Lentivirus,Human_immunodeficiency_virus_1,0.000626839,0.000759115,61,60831;59554;40334;16429;17450;18994;18995;19012;19013;19584;22127;22128;22187;22188;22429;23196;23197;23339;23340;23345;23346;23351;23352;23910;23911;24090;24133;24134;27721;27725;27726;27727;27774;27775;31556;31709;31710;33461;33462;35735;35736;38236;38492;39724;42487;42488;46079;47855;51373;58200;64589;64641;64642;64678;64679;65556;65557;78299;81958;89816;90576,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsRNA_viruses;f__Reoviridae;-__Sedoreovirinae;g__Rotavirus;s__Rotavirus_G,Reoviridae,Rotavirus,Rotavirus_G,0.0006948,0.000713555,12,2298;5954;5990;95893;33321;33322;42321;42410;42411;51372;69249;69250,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;f__Orthomyxoviridae;g__Influenzavirus_B;s__Influenza_B_virus,Orthomyxoviridae,Influenzavirus_B,Influenza_B_virus,0.001576289,0.022310151,38.001,11691;362;4995;94521;85390;81362;81488;80919;91415;91456;91467;49939;81126;81217;81474;81237;92898;50783;56752;61016;81609;81652;81705;81728;83191;83259;83399;83466;83731;84016;84250;84661;84950;84995;85428;91386;91392;93242,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;o__Mononegavirales;f__Paramyxoviridae;g__Avulavirus;s__Avian_avulavirus_6,Paramyxoviridae,Avulavirus,Avian_avulavirus_6,0.000256023,0.001245945,30.001,362;95893;81362;81488;49937;80919;49939;81126;81217;81473;81474;81237;19506;19507;22295;22296;31780;31781;31844;31845;39724;39725;41799;41800;49940;53544;80909;92970;95657;95680,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;o__Mononegavirales;f__Pneumoviridae;g__Metapneumovirus;s__Human_metapneumovirus,Pneumoviridae,Metapneumovirus,Human_metapneumovirus,0.000488606,0.000488606,12,13042;13043;17680;17681;31780;31781;53544;56629;56630;82279;85504;85505,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__EEEV_complex;s__Eastern_equine_encephalitis_virus,Togaviridae,Alphavirus,Eastern_equine_encephalitis_virus,0.000515541,0.002497652,28.002,21850;21851;32570;32571;32658;32659;40083;40084;55674;55675;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Chikungunya_virus,Togaviridae,Alphavirus,Chikungunya_virus,0.001486858,0.014748801,25.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Getah_virus,Togaviridae,Alphavirus,Getah_virus,0.000414054,0.006288291,26.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Mayaro_virus,Togaviridae,Alphavirus,Mayaro_virus,0.00044471,0.006672501,26.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__O_nyong_nyong_virus,Togaviridae,Alphavirus,O_nyong_nyong_virus,0.00019897,0.003536719,27.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90332;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Ross_River_virus,Togaviridae,Alphavirus,Ross_River_virus,0.000403377,0.006153209,26.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Semliki_Forest_virus,Togaviridae,Alphavirus,Semliki_Forest_virus,0.000408685,0.006220446,26.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__VEEV_complex;s__Venezuelan_equine_encephalitis_virus,Togaviridae,Alphavirus,Venezuelan_equine_encephalitis_virus,0.000173781,0.00338701,29.002,21850;21851;32570;32571;32658;32659;40083;40084;55674;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90068;90278;90384;90405;90459;90635;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Sindbis_virus,Togaviridae,Alphavirus,Sindbis_virus,0.000573674,0.008237031,26.002,21850;21851;32570;32571;32658;32659;40083;40084;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;86146;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Western_equine_encephalitis_virus,Togaviridae,Alphavirus,Western_equine_encephalitis_virus,0.000341925,0.001721261,28.002,21850;21851;32570;32571;32658;32659;40083;40084;55674;55675;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
APO164,Pa17,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;s__Barmah_Forest_virus,Togaviridae,Alphavirus,Barmah_Forest_virus,0.000262581,0.004298988,26.002,21850;21851;32570;32571;32658;32659;40083;40084;55676;56580;56581;56605;56606;58200;70835;70836;71095;71096;71097;89998;90043;90278;90384;90405;90459;94852,716,646,
